name;email
Дело газета;persolal@zenden.ru  
Продовольственный Рынок и технологии агропромышленного комплекса журнал;agroprod-36@mail.ru  
Табигат журнал;aif1@ufanet.ru  
Репродуктивное здоровье детей и подростков журнал;info@geotar.ru  
Сегодня в продаже газета;info@today-sale.ru  dostavka@today-sale.ru  
Труд и время на Южном Урале газета;profred@bk.ru  chelprofv@mail.ru  mactavishev@yandex.ru  asmprof@rambler.ru  profapk74@mail.ru  
Стандарт Качества журнал;holding.stk@mail.ru  novoselov.74@mail.ru  parshina.oa@gmail.com  author@sailingphoto.ru  a.neshin@mail.ru  
Сиражи сузе газета;leysanramilovna@gmail.com  suze2015@mail.ru  
Домашний очаг журнал;goodhouse.ru@imedia.ru  n.rodikova@imedia.ru  adv.women@imedia.ru  olga.stepanova@imedia.ru  n.malkina@imedia.ru  
Аптека. Фарминдекс газета;3270512@mail.ru  parkinson-congress@ctogroup.ru  info@volgogradexpo.ru  conf_reabin@inbox.ru  congress.niimt@expofortis.ru  
Аспирант и соискатель журнал;print@sputnikplus.ru  
Хлебороб Алтая;office@moyaokruga.ru  
City гид журнал;sg2@citygid-nsk.ru  
Голос Камчатки газета;profsoyuz@mail.kamchatka.ru  
Metro. Новосибирск еженедельная газета;info@mahog.ru  office@nsk.dimark.ru  offece@nsk.dimark.ru  
Арзамас Сегодня газета;atoday@list.ru  
ИНТЕР еженедельная газета;inter@inter-volgograd.ru  972397@mail.ru  
ТВОЯ РАБОТА 61 газета;rnd@trabota61.ru  
Стратегический менеджмент журнал;mail@grebennikov.ru  
Восход газета;admin@website.ru  voshod_pr@mail.ru  voshodd@narod.ru  
1000 советов дачнику газета;total@yuniline.ru  i.malceva@yuniline.ru  
Магнитогорский рабочий газета;mr@mr-info.ru  admin@website.ru  mr-reklama@mail.ru  oleg.111@mail.ru  salina_nadezhda@mail.ru  
Веселы
Презент газета;smm@facemaster.ru  
Склад и Техника журнал;sklad@rosb.ru  avi@rosb.ru  ttn@rosb.ru  fjp@rosb.ru  exhibition@rosb.r
Геология геофизика и разработка нефтяных и газовых месторождений журнал;ele-baysarov@yandex.ru  vniioeng@vniioeng.ru  ubgt@mail.ru  mpginzburg@mail.ru  mpginzburg_1948@mail.ru  
Ваш голос газета;tuapse.kgkr@mail.ru  kpkotdel@bk.ru  ;
Регионология журнал;redreg@mail.ru  
Усть-Абаканские известия газета;uagazeta@mail.ru  
Hair`s How журнал;info@hair.su  sales@hair.su  repina@hair.su  info@honmatkyo.ru  
Черновик издательство;reklama_05@mail.ru  gazeta_05@mail.ru 
Соседи журнал;sosedi@unitmedia.ru  redactorsosedi@unitmedia.ru  
Аспирантский вестник Поволжья журнал;cloud@mail.ru  aspvestnik@list.ru  
Реут газета;7910880@gmail.com  
Fresh time журнал;fresh_time@list.ru  
Вакыт! газета;wakyt@yandex.ru  
Жизнь газета;info@zhizn.ru  
Znak.com интернет-газета;aksana@znak.com  znak@znak.com  
Национальный банковский журнал;morozova@nbj.ru  ushakov@nbj.ru  antonova@nbj.ru  prozorova@nbj.ru  kislicina@nbj.ru  
Северный городок газета;severgorodok@yandex.ru  
Journal of Experimental and Theoretical Physics Letters JETP Letters журнал;letters@kapitza.ras.ru  compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  
Журфикс журнал;fix-05@mail.ru  
Аэро-Сити еженедельная газета;aero-city@ngs.ru  0378@mail.ru  ovka@mail.ru  
Политехник газета;info-lgtu@mail.ru  propotential.partner2@gmail.com  
Агроновости газета;subscription@agro-bursa.ru  reklama@agro-bursa.ru  agronovosti@agro-bursa.ru  bursa@agroexchange.ru  
Власть. ИО общественно-политический журнал;vlastio@yandex.ru  ;
Кемерово редакция газеты;rkk@kmrnews.ru  panov@kmrnews.ru  news@kmrnews.ru  
Российский Аллергологический Журнал;sale@allergy-journal.ru  glushkovaef@gmail.com  olga.a.gonch@li.ru  
Город N газета;n@gorodn.ru  
Наноструктуры. Математическая физика и моделирование журнал;nanostructures@hse.ru  
Тольяттинский Навигатор газета;tlt.navigator@bk.ru  
Надежда газета;2012psm@mail.ru  ;
География и природные ресурсы журнал;larakim@ngs.ru  
Педагогика журнал;wedidit@rambler.ru  
ОНОНАС журнал;ononas@belpressa.ru  
Семейный Лекарь журнал;omlekar2006@mail.ru  omlekar@mail.ru  e-mail@omskminzdrav.ru  oblcgsen@omskcity.com  rospotrebnadzor@omskcity.com  
ProОтрадное газета;protradnoe@mail.ru  reklamaprotradnoe@mail.ru  
